"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"423032_ida","-23.75672","-46.60554","0","0"
"423032_ida","-23.75669","-46.60552","1","4"
"423032_ida","-23.75658","-46.60551","2","16"
"423032_ida","-23.75648","-46.6055","3","27"
"423032_ida","-23.75637","-46.6055","4","39"
"423032_ida","-23.75615","-46.60548","5","64"
"423032_ida","-23.75593","-46.60551","6","88"
"423032_ida","-23.75571","-46.60549","7","113"
"423032_ida","-23.75564","-46.60548","8","121"
"423032_ida","-23.75559","-46.60546","9","127"
"423032_ida","-23.75554","-46.60543","10","133"
"423032_ida","-23.75549","-46.60539","11","140"
"423032_ida","-23.75529","-46.60516","12","172"
"423032_ida","-23.75519","-46.60504","13","189"
"423032_ida","-23.75512","-46.60496","14","200"
"423032_ida","-23.7549","-46.60481","15","229"
"423032_ida","-23.75479","-46.60473","16","243"
"423032_ida","-23.75469","-46.60466","17","256"
"423032_ida","-23.75426","-46.60436","18","313"
"423032_ida","-23.75404","-46.60421","19","342"
"423032_ida","-23.75384","-46.60406","20","369"
"423032_ida","-23.75363","-46.60392","21","396"
"423032_ida","-23.75352","-46.60386","22","410"
"423032_ida","-23.75341","-46.60379","23","424"
"423032_ida","-23.75337","-46.60372","24","432"
"423032_ida","-23.7533","-46.60364","25","443"
"423032_ida","-23.75323","-46.60356","26","455"
"423032_ida","-23.75314","-46.60347","27","468"
"423032_ida","-23.7531","-46.60342","28","475"
"423032_ida","-23.75273","-46.60287","29","544"
"423032_ida","-23.75255","-46.60259","30","579"
"423032_ida","-23.75238","-46.60231","31","613"
"423032_ida","-23.75225","-46.60209","32","640"
"423032_ida","-23.75189","-46.60155","33","708"
"423032_ida","-23.75179","-46.60138","34","728"
"423032_ida","-23.75152","-46.60091","35","785"
"423032_ida","-23.75145","-46.60077","36","801"
"423032_ida","-23.75132","-46.60048","37","834"
"423032_ida","-23.7512","-46.60018","38","867"
"423032_ida","-23.75099","-46.59967","39","924"
"423032_ida","-23.7509","-46.5994","40","954"
"423032_ida","-23.75079","-46.59914","41","983"
"423032_ida","-23.75033","-46.59801","42","1109"
"423032_ida","-23.7502","-46.59765","43","1148"
"423032_ida","-23.7501","-46.59737","44","1179"
"423032_ida","-23.74999","-46.5971","45","1209"
"423032_ida","-23.74995","-46.59708","46","1214"
"423032_ida","-23.7499","-46.59707","47","1219"
"423032_ida","-23.74985","-46.59703","48","1226"
"423032_ida","-23.74981","-46.59702","49","1231"
"423032_ida","-23.74955","-46.59704","50","1260"
"423032_ida","-23.74804","-46.59719","51","1428"
"423032_ida","-23.74785","-46.59725","52","1450"
"423032_ida","-23.74766","-46.59731","53","1472"
"423032_ida","-23.74729","-46.59745","54","1515"
"423032_ida","-23.74708","-46.59753","55","1540"
"423032_ida","-23.74704","-46.59753","56","1544"
"423032_ida","-23.74699","-46.59754","57","1550"
"423032_ida","-23.74683","-46.5976","58","1569"
